trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,1,10.0,69.73908200000005,70.23834129999886,70.23834129999886,70.23834129999886,,right,10.0,1,1,0.018578999995952472,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,11,1,10.0,70.28822619999846,70.7877806999968,70.7877806999968,70.7877806999968,71.08780359999946,left,-10.0,0,0,0.2904443999941577,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,12,1,11.0,71.10449389999849,71.60416719999921,71.60416719999921,71.60416719999921,,left,-11.0,0,0,0.21314530000381637,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,13,1,12.0,71.83713330000319,72.33649259999947,72.33649259999947,72.35299859999941,,right,12.0,1,1,0.13156879999587545,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,14,1,12.0,72.48614380000072,72.98596800000087,72.98596800000087,72.98596800000087,,right,12.0,1,1,0.17176969999854919,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,15,1,12.0,73.18608040000254,73.68517509999947,73.68517509999947,73.7019896999991,73.9847501999975,left,-12.0,0,0,0.7977561000006972,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,16,1,13.0,74.5008966000023,75.00053939999634,75.00053939999634,75.00053939999634,,left,-13.0,0,0,0.17066160000103991,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,17,1,14.0,75.20019799999864,75.69982560000062,75.69982560000062,75.69982560000062,,right,14.0,1,1,0.13286040000093635,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,18,1,14.0,75.84976530000131,76.34934790000261,76.34934790000261,76.34934790000261,,left,-14.0,0,0,0.2515172999992501,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,19,1,15.0,76.63232370000333,77.13210090000211,77.13210090000211,77.13210090000211,,left,-15.0,0,0,0.053762199997436255,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
