trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
25,0,25,0,58.600986600038595,59.5990054999711,59.61569480004255,down,1,0.008594300015829504,None,2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
26,0,26,0,59.63362520001829,60.631300700013526,60.64799009996932,up,1,0.0640327000292018,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
27,0,27,0,60.71846070000902,61.71370850002859,61.73033279995434,up,0,0.4720204999903217,None,4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
28,0,28,0,62.21301049995236,63.21224090002943,63.21224090002943,up,1,0.6503634999971837,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
29,0,29,0,63.894756000023335,64.89402120001614,64.89402120001614,up,0,0.36714939994271845,None,4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
30,0,30,0,65.29451220005285,66.29305330000352,66.30964870005846,down,0,0.20307960000354797,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
31,0,31,0,66.52592629997525,67.52485719998367,67.54165000002831,up,1,0.7498856999445707,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
32,0,32,0,68.29904399998486,69.2899154999759,69.30669040000066,down,0,0.27141929999925196,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
33,0,33,0,69.58954349998385,70.5887958999956,70.5887958999956,down,1,0.6699578000698239,None,-3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
34,0,34,0,71.28802540001925,72.28715580003336,72.28715580003336,down,0,0.3702006000094116,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
35,0,35,0,72.68666490004398,73.68588670005556,73.68588670005556,up,1,0.21339279995299876,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
36,0,36,0,73.91889049997553,74.91806549998,74.91806549998,up,1,0.23357099993154407,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
37,0,37,0,75.17658359999768,76.16687539999839,76.1835420000134,down,0,0.8024416998960078,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
38,0,38,0,77.01192459999584,77.99843369994778,78.01507149997633,up,1,0.43416030006483197,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
39,0,39,0,78.46449479996227,79.46371779998299,79.46371779998299,up,0,0.5297457999549806,None,3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
40,0,40,0,80.0224911000114,81.0125973999966,81.02914849994704,down,0,0.45118669990915805,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
41,0,41,0,81.4993404999841,82.4944942999864,82.51123029994778,down,0,0.38091580010950565,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
42,0,42,0,82.90381319995504,83.89342990005389,83.9098939000396,up,0,0.29319150000810623,None,-5,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
43,0,43,0,84.2172930999659,85.20872780005448,85.22535129997414,up,1,0.334646699950099,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
44,0,44,0,85.57827830000315,86.57409290003125,86.59078660001978,down,1,0.2989405000116676,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
45,0,45,0,86.89483510004357,87.88952760002576,87.90612509998027,down,0,0.30443979997653514,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
46,0,46,0,88.23794829996768,89.2384232999757,89.2384232999757,up,0,0.21144029998686165,None,-3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
47,0,47,0,89.4895467000315,90.48730679997243,90.50404889998026,up,1,0.3204423999413848,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
48,0,48,0,90.85187050001696,91.83602819999214,91.85278479999397,down,1,0.23791439994238317,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
49,0,49,0,92.11749650002457,93.11787720001303,93.11787720001303,down,1,0.22781780001241714,None,4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
50,0,50,0,93.36912479996681,94.36680790001992,94.38352340005804,up,0,0.29659969999920577,None,-3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
51,0,51,0,94.68701140000485,95.68257499998435,95.69932929996867,up,0,0.3849377000005916,None,4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
52,0,52,0,96.11919530003797,97.11456160002854,97.13126769999508,down,1,0.2132018000120297,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
53,0,53,0,97.36216340004466,98.36340769997332,98.36340769997332,down,1,0.3766170999733731,None,3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
54,0,54,0,98.7829964000266,99.7787497000536,99.79552679997869,up,0,0.20215819997247308,None,-5,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
55,0,55,0,100.02516169997398,101.02762469998561,101.02762469998561,down,0,0.25972689990885556,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
56,0,56,0,101.32004809996579,102.30960989999585,102.3262803000398,down,0,0.028888800065033138,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
57,0,57,0,102.36949219997041,103.3586991999764,103.37523550004698,down,1,0.14104380004573613,None,4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
58,0,58,0,103.53579130000435,104.5244423999684,104.54084919998422,down,1,0.15190209995489568,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
59,0,59,0,104.71569250000175,105.70645679999143,105.72302719997242,down,0,0.01801439991686493,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
60,0,60,0,105.76547620003112,106.75544540002011,106.7722237999551,up,1,0.10901250003371388,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
61,0,61,0,106.90108470001724,107.90437949995976,107.90437949995976,down,1,0.21876719989813864,None,-5,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
62,0,62,0,108.16369159996975,109.15325540001504,109.1699250000529,down,0,0.11618190002627671,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
63,0,63,0,109.3030081000179,110.30220789997838,110.30220789997838,down,1,0.1040377999888733,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
64,0,64,0,110.44558089994825,111.4344715999905,111.45111609995365,down,0,0.275052799959667,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
65,0,65,0,111.74469540000428,112.73317490005866,112.75000740005635,up,1,0.06975679995957762,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
66,0,66,0,112.842044500052,113.8323077999521,113.84886060003191,down,0,0.13714250002522022,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
67,0,67,0,114.01038220000919,114.99776860000566,115.01455990003888,down,0,0.7928987999912351,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
