trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,38.79598270007409,39.873832300072536,39.8794584000716,down,0,5.1478719000006095,None,0,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
1,0,1,0,45.0462062000297,46.04545180010609,46.04545180010609,up,1,2.0006049999501556,None,0,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
2,0,2,0,48.076705700019374,49.075969099998474,49.075969099998474,down,1,1.743804500089027,None,3,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
3,0,3,0,50.84087370010093,51.840029400074854,51.85666420008056,up,0,0.9118371000513434,None,3,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
4,0,4,0,52.77248240006156,53.77152639999986,53.788186000077985,down,1,0.5942492000758648,None,2,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
5,0,5,0,54.38757830008399,55.386699100025,55.40341440006159,up,1,0.9233380999648944,None,0,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
6,0,6,0,56.33566940005403,57.334885800024495,57.334885800024495,down,0,0.754608100047335,None,0,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
7,0,7,0,58.11744400009047,59.11668400000781,59.11668400000781,up,0,0.7591043000575155,None,4,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
8,0,8,0,59.89901110006031,60.898303400026634,60.898303400026634,down,1,0.4558750999858603,None,3,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
9,0,9,0,61.38107900007162,62.380308700026944,62.380308700026944,up,1,0.7253803999628872,None,0,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
10,0,10,0,63.12924830010161,64.12853850005195,64.12853850005195,down,0,1.2243122999789193,None,0,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
11,0,11,0,65.37723710003775,66.37651880003978,66.37651880003978,up,0,0.7177589000202715,None,1,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
12,0,12,0,67.12558520003222,68.12494630005676,68.12494630005676,up,0,1.6610567999305204,None,4,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
13,0,13,0,69.80645760009065,70.80570740008261,70.80570740008261,down,0,0.5043495999416336,None,0,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
14,0,14,0,71.33837380004115,72.33760190010071,72.33760190010071,up,0,0.6710755999665707,None,2,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
15,0,15,0,73.03672430000734,74.03604610008188,74.03604610008188,down,1,0.7618071999168023,None,4,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
16,0,16,0,74.81853020004928,75.81768010009546,75.81768010009546,up,0,0.2302098999498412,None,2,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
17,0,17,0,76.06724990007933,77.06650499999523,77.06650499999523,down,1,0.35879329999443144,None,-4,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
18,0,18,0,77.44929930008948,78.44879180006683,78.44879180006683,down,0,0.5984219999518245,None,0,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
19,0,19,0,79.07137700007297,80.06372229999397,80.0803863001056,up,0,0.266280599986203,None,-5,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
20,0,20,0,80.34669540007599,81.34579150006175,81.36245380004402,up,0,0.22184820007532835,None,1,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
21,0,21,0,81.5954382000491,82.59468560002279,82.59468560002279,up,0,0.33453320001717657,None,4,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
22,0,22,0,82.96084120008163,83.96005800005514,83.96005800005514,up,0,1.6158633000450209,None,3,418712,001,2023-09-13_21h53.10.213,orientation discrimination task,2023.1.3,60.071460994679576,
